epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.03726997599005699,0.19305433332920074,0.007803695742040873,0.08833853155374527
1,0.005191578064113855,0.07205260545015335,0.004962146747857332,0.07044250518083572
2,0.0035352909471839666,0.05945831164717674,0.0043620457872748375,0.06604578346014023
3,0.0027752788737416267,0.05268091708421707,0.0043503898195922375,0.06595748662948608
4,0.002496998058632016,0.04996997117996216,0.0031679889652878046,0.056284889578819275
5,0.002047166461125016,0.04524562507867813,0.004082093946635723,0.06389126926660538
6,0.0017535957740619779,0.04187595844268799,0.003770851995795965,0.061407264322042465
7,0.0014600504655390978,0.038210608065128326,0.003679104847833514,0.0606556236743927
8,0.0013385724741965532,0.03658650815486908,0.003316656919196248,0.05759042501449585
9,0.001232040929608047,0.03510044142603874,0.0038915665354579687,0.062382422387599945
10,0.0011686446378007531,0.034185443073511124,0.003169345436617732,0.0562969408929348
11,0.0011568889021873474,0.03401307016611099,0.003108828328549862,0.05575686693191528
12,0.0011534133227542043,0.0339619405567646,0.004139020573347807,0.06433521956205368
13,0.0010246802121400833,0.032010626047849655,0.003281267825514078,0.057282350957393646
14,0.001099489745683968,0.0331585556268692,0.0025979909114539623,0.05097049102187157
15,0.0011179029243066907,0.03343505412340164,0.002983555430546403,0.05462193116545677
16,0.0009218923514708877,0.030362680554389954,0.0033253561705350876,0.057665903121232986
17,0.0009685325785540044,0.031121255829930305,0.003713557729497552,0.060938965529203415
18,0.0009002797305583954,0.03000466153025627,0.003614637069404125,0.06012185290455818
19,0.0009024605969898403,0.030040981248021126,0.004157079383730888,0.064475417137146
20,0.000906085770111531,0.03010125830769539,0.003664440242573619,0.06053461879491806
21,0.0008586782496422529,0.029303211718797684,0.0033154713455587626,0.0575801283121109
22,0.0008192139212042093,0.028621913865208626,0.002959737554192543,0.05440346896648407
23,0.0008027511648833752,0.028332863003015518,0.004236815497279167,0.06509082764387131
24,0.0007806539651937783,0.027940185740590096,0.003326668404042721,0.05767727643251419
25,0.0007560972007922828,0.027497220784425735,0.003999726381152868,0.06324338912963867
26,0.0009012575610540807,0.030020952224731445,0.0037380745634436607,0.0611397959291935
27,0.0008077973616309464,0.028421776369214058,0.002972937421873212,0.05452464893460274
28,0.0008234563283622265,0.028695927932858467,0.0031853101681917906,0.05643855035305023
29,0.0007499810890294611,0.027385782450437546,0.005380633752793074,0.07335280627012253
30,0.000759510206989944,0.02755921334028244,0.0034794153179973364,0.05898657068610191
31,0.0008029697928577662,0.028336722403764725,0.0035698728170245886,0.05974841117858887
32,0.0006827784236520529,0.026130029931664467,0.0033202487975358963,0.05762159824371338
33,0.0006758608506061137,0.025997323915362358,0.0036877854727208614,0.060727138072252274
34,0.0008378197671845555,0.028945116326212883,0.003120838664472103,0.05586446821689606
35,0.0007851174450479448,0.028019947931170464,0.0037726578302681446,0.061421964317560196
36,0.0007890920387580991,0.028090782463550568,0.004565328359603882,0.06756721436977386
37,0.0006609060219489038,0.025708092376589775,0.003564818762242794,0.059706103056669235
38,0.0006817926187068224,0.026111159473657608,0.0038891134317964315,0.062362756580114365
39,0.0006732748006470501,0.025947539135813713,0.003623073920607567,0.06019197404384613
40,0.0004909036797471344,0.02215634658932686,0.0037693623453378677,0.061395131051540375
41,0.00045391646563075483,0.02130531519651413,0.004004484973847866,0.06328099966049194
42,0.0004409347602631897,0.02099844627082348,0.003981463145464659,0.06309883296489716
43,0.0004343811597209424,0.02084181271493435,0.004093923140317202,0.06398377567529678
44,0.00042346195550635457,0.020578190684318542,0.0038530307356268167,0.062072787433862686
45,0.0004229627375025302,0.020566057413816452,0.004391122609376907,0.0662655457854271
46,0.000422109616920352,0.02054530568420887,0.004143186844885349,0.06436759233474731
47,0.00040598606574349105,0.020149094983935356,0.004089661408215761,0.06395046412944794
48,0.00040824757888913155,0.020205138251185417,0.0044730911031365395,0.06688117235898972
49,0.00043913430999964476,0.020955530926585197,0.003892438719049096,0.06238941103219986
50,0.00039615167770534754,0.019903559237718582,0.00387062830850482,0.06221437454223633
51,0.00040831841761246324,0.020206891000270844,0.004392445553094149,0.06627552956342697
52,0.0004160477255936712,0.0203972477465868,0.004236719571053982,0.06509009003639221
53,0.00041832475108094513,0.020452989265322685,0.003976775333285332,0.0630616769194603
54,0.00039827602449804544,0.01995685324072838,0.004079807549715042,0.06387337297201157
55,0.0003960162284784019,0.019900156185030937,0.004273505881428719,0.0653720572590828
56,0.00040491041727364063,0.020122386515140533,0.0040252432227134705,0.06344480812549591
57,0.000379240489564836,0.019474098458886147,0.004224045667797327,0.06499265879392624
58,0.00040150052518583834,0.02003747783601284,0.004207452293485403,0.0648648738861084
59,0.00037080812035128474,0.019256379455327988,0.004202828276902437,0.06482922285795212
60,0.0004319723229855299,0.02078394405543804,0.004873757250607014,0.06981229782104492
61,0.000382346217520535,0.01955367438495159,0.004258530680090189,0.06525741517543793
62,0.0003982800990343094,0.019956955686211586,0.004297751933336258,0.06555724143981934
63,0.00041407495154999197,0.02034883201122284,0.004892648197710514,0.06994746625423431
64,0.00037802138831466436,0.01944277249276638,0.0043602013029158115,0.06603182107210159
65,0.0003318179806228727,0.01821587234735489,0.004368577618151903,0.06609521806240082
66,0.000325484637869522,0.01804119348526001,0.004202708136290312,0.0648282989859581
67,0.0003253611794207245,0.018037771806120872,0.004337656777352095,0.06586088985204697
68,0.00032317015575245023,0.01797693409025669,0.00428358418866992,0.06544909626245499
69,0.0003171642019879073,0.017809104174375534,0.004408433102071285,0.06639603525400162
70,0.00031567373662255704,0.01776720955967903,0.004374935757368803,0.06614329665899277
71,0.0003149529220536351,0.01774691231548786,0.0044464170932769775,0.06668145954608917
72,0.00031621279777027667,0.01778237335383892,0.004439194221049547,0.06662727892398834
73,0.0003143027424812317,0.017728585749864578,0.004358354024589062,0.06601782888174057
74,0.0003150457050651312,0.017749527469277382,0.004423186182975769,0.06650704145431519
75,0.0003137499443255365,0.017712987959384918,0.004450406413525343,0.06671136617660522
76,0.00030944732134230435,0.017591115087270737,0.004394232295453548,0.0662890076637268
77,0.0003150820266455412,0.01775055006146431,0.0044307769276201725,0.06656408309936523
78,0.0003094706335105002,0.017591778188943863,0.004361412953585386,0.0660409927368164
79,0.000309019407723099,0.01757894828915596,0.004461701959371567,0.06679597496986389
80,0.00030821681139059365,0.01755610480904579,0.00440078042447567,0.06633837521076202
81,0.0003087409131694585,0.01757102459669113,0.0044032433070242405,0.06635694205760956
82,0.00031093094730749726,0.017633235082030296,0.004232402425259352,0.06505692005157471
83,0.0003073409607168287,0.017531143501400948,0.004448821768164635,0.06669948995113373
84,0.0003044145414605737,0.01744747906923294,0.004522582516074181,0.06725014746189117
85,0.0003125255461782217,0.017678391188383102,0.004362570587545633,0.06604976207017899
86,0.00030563242034986615,0.017482345923781395,0.004614491481333971,0.06793005019426346
87,0.00030306715052574873,0.01740882359445095,0.00433427095413208,0.06583517789840698
88,0.00030268970294855535,0.017397979274392128,0.004336598329246044,0.06585285067558289
89,0.0003012098022736609,0.01735539734363556,0.004511218052357435,0.06716559827327728
90,0.00028844104963354766,0.016983551904559135,0.004330528434365988,0.06580675393342972
91,0.0002884991408791393,0.01698526181280613,0.004403872415423393,0.0663616806268692
92,0.000286961963865906,0.016939951106905937,0.0043869176879525185,0.0662338137626648
93,0.0002873098710551858,0.016950218006968498,0.004434933420270681,0.06659529358148575
94,0.00028720227419398725,0.01694704405963421,0.004368526861071587,0.06609483063220978
95,0.00028593477327376604,0.016909606754779816,0.004345317836850882,0.06591902673244476
96,0.0002866262220777571,0.01693003997206688,0.004436196759343147,0.06660477817058563
97,0.0002870947355404496,0.01694387011229992,0.00437115877866745,0.06611473858356476
98,0.00028654944617301226,0.016927771270275116,0.0045185149647295475,0.06721989810466766
99,0.00028670585015788674,0.01693239063024521,0.004452069755643606,0.06672383099794388
100,0.00028678314993157983,0.016934672370553017,0.004394962918013334,0.06629451364278793
101,0.00028831505915150046,0.016979843378067017,0.0044126915745437145,0.06642809510231018
102,0.0002858435036614537,0.01690690778195858,0.004372613504528999,0.06612574309110641
103,0.0002872748300433159,0.016949184238910675,0.004435298033058643,0.06659803539514542
104,0.00028514626319520175,0.01688627526164055,0.004470291547477245,0.06686023622751236
105,0.0002842120302375406,0.01685858890414238,0.004442904610186815,0.06665511429309845
106,0.00028367145569063723,0.016842549666762352,0.0044050198048353195,0.06637032330036163
107,0.0002839288208633661,0.016850188374519348,0.004438422620296478,0.06662148982286453
108,0.0002837679930962622,0.01684541441500187,0.004325249698013067,0.06576663255691528
109,0.0002835368795786053,0.01683855429291725,0.004441376775503159,0.06664365530014038
110,0.00028343082522042096,0.016835404559969902,0.004353623371571302,0.06598199158906937
111,0.0002840101078618318,0.016852598637342453,0.004412551410496235,0.06642703711986542
112,0.0002823631512001157,0.016803665086627007,0.0043817791156470776,0.06619501113891602
113,0.000282997585600242,0.016822531819343567,0.004396672826260328,0.06630741059780121
114,0.00028266097069717944,0.01681252382695675,0.004320734646171331,0.06573229283094406
115,0.0002793462190311402,0.01671365275979042,0.0043904478661715984,0.0662604570388794
116,0.0002790576545521617,0.016705019399523735,0.004399637226015329,0.06632976233959198
117,0.00027889711782336235,0.01670021377503872,0.004413041286170483,0.0664307251572609
118,0.00027886827592737973,0.016699349507689476,0.004421773832291365,0.06649641692638397
119,0.00027885910822078586,0.01669907569885254,0.004378994461148977,0.0661739706993103
120,0.00027903009322471917,0.016704194247722626,0.0043790144845843315,0.06617411971092224
121,0.00027896478422917426,0.016702238470315933,0.004412781912833452,0.0664287731051445
